word,count
you,89297603
the,77564674
i,69205065
to,58314898
a,49961193
and,34993653
it,32444799
of,30173864
that,27635750
in,25047350
is,25046602
me,22765684
what,21154980
this,20198794
for,17525506
we,17373453
on,17333017
my,17087290
your,16512173
have,16140514
no,15851168
i'm,15645076
do,15402438
was,14666132
not,14637695
be,14478092
don't,14459745
are,14387275
it's,14148528
know,13875656
he,13600193
with,12839231
all,12670971
but,12071773
just,11759949
so,11458311
here,10753476
get,10575299
like,10054353
go,9597534
right,9520684
out,9090670
if,8969137
you're,8948765
can,8919492
up,8767228
about,8597753
him,8596609
at,8152551
now,8062372
there,8052979
oh,7909539
come,7819527
they,7810985
one,7696735
yeah,7516967
that's,7442230
got,7329809
her,7256269
well,7189402
how,6927951
want,6705617
she,6556017
will,6529460
think,6380499
see,6115596
good,6089931
did,5994144
as,5909548
from,5766851
why,5728399
his,5709879
okay,5462726
yes,5250155
going,5125731
when,5099935
back,5099025
who,5082192
i'll,4955983
time,4932844
an,4925337
us,4839339
gonna,4811040
look,4750725
he's,4737324
them,4706761
take,4592786
were,4437955
can't,4412149
would,4404631
been,4391473
man,4377626
or,4347417
hey,4347264
then,4203410
had,4160456
tell,4133465
our,4120003
some,4077640
where,4003890
say,3941576
need,3862330
really,3860716
we're,3797043
could,3766895
didn't,3717820
down,3667425
by,3622463
something,3551056
way,3542695
more,3448089
too,3428380
make,3376015
has,3372906
never,3287102
i've,3249151
what's,3195134
let,3142217
over,3124683
little,3072895
very,3012822
please,2985061
sorry,2980337
only,2952573
people,2934799
there's,2919814
because,2908027
off,2893526
let's,2884739
mean,2874171
give,2830576
said,2779161
love,2731914
thank,2691403
should,2689445
am,2677174
any,2673452
two,2659638
doing,2604781
sure,2474682
thing,2471377
even,2456177
much,2449010
mr,2406343
help,2401742
she's,2368651
these,2366166
sir,2305858
find,2250094
into,2241069
god,2199946
anything,2196629
still,2192102
first,2160567
uh,2125738
nothing,2094246
they're,2088286
life,2084379
wait,2059807
day,2059582
maybe,2059135
work,2058952
stop,2045953
call,2039881
before,2026340
again,2020261
their,2005164
put,1965500
talk,1959169
than,1949009
away,1911733
thought,1908636
other,1890900
night,1877782
home,1872153
after,1861509
must,1849489
those,1846515
great,1840068
last,1822551
keep,1816286
better,1793412
told,1773955
new,1733023
long,1709027
things,1706890
won't,1684263
you've,1679446
always,1668157
does,1661761
around,1645409
ever,1623142
years,1617955
everything,1616447
we'll,1611994
guys,1605654
leave,1596075
doesn't,1595410
i'd,1581661
name,1543150
place,1524527
guy,1522910
money,1522058
feel,1489232
made,1475894
old,1462018
believe,1452126
big,1438424
you'll,1433910
done,1425529
isn't,1423580
fine,1408558
nice,1391521
through,1390402
stay,1386865
every,1385703
coming,1377917
lot,1369065
hello,1368754
which,1367905
kind,1355575
kill,1339815
thanks,1337404
father,1336052
shit,1320919
three,1320139
listen,1317153
left,1313389
hear,1310567
wanted,1308308
girl,1303288
house,1299428
enough,1298505
wrong,1295633
bad,1293240
happened,1285248
may,1283399
course,1271421
understand,1271409
remember,1271092
being,1270866
someone,1265162
might,1251040
ok,1246156
fuck,1244748
dead,1242699
another,1242043
world,1230417
came,1225365
own,1218820
talking,1210809
ask,1192338
hell,1179594
fucking,1174451
found,1158740
dad,1155149
same,1148537
show,1143433
else,1141155
car,1141144
care,1140268
getting,1139830
move,1131501
looking,1130862
next,1127070
hi,1120647
try,1115675
son,1114900
today,1112874
trying,1089978
mother,1089187
boy,1086165
mind,1072694
yourself,1068658
woman,1068345
wasn't,1068183
real,1065904
friend,1049732
best,1049112
went,1042039
baby,1040007
we've,1032095
many,1031374
hold,1026186
saw,1021346
wanna,1021305
huh,1020728
job,1013400
morning,1004330
together,1003770
wouldn't,994467
room,989956
gotta,987948
family,981601
seen,976327
without,969879
door,968116
men,961384
ready,951390
heard,949106
already,947468
head,946161
most,945038
both,943138
mom,943125
live,941849
miss,938807
actually,930898
knew,929995
once,916658
pretty,906584
took,903611
run,899496
idea,897486
guess,896688
whole,895932
use,887720
yet,886419
used,882610
bring,872613
called,872158
while,864092
start,861512
killed,857501
meet,854506
days,850006
happy,849266
matter,847214
phone,846284
haven't,845121
gone,841178
open,834919
um,834034
since,832922
cause,830354
hard,818811
such,818244
saying,812952
tonight,812103
alone,810837
die,810613
myself,809918
ago,805136
end,802700
problem,800971
brother,800515
wife,800321
few,795766
looks,793945
bit,792270
english,787253
friends,786076
excuse,785781
until,785603
tomorrow,781445
couldn't,779945
play,778945
turn,778813
you'd,777469
hope,777275
who's,776109
lost,775302
face,773913
ah,771414
watch,767980
anyone,767037
says,757690
school,752344
ain't,751986
wants,746482
also,746247
everyone,744493
business,725435
case,724592
true,722607
hand,721387
soon,708936
damn,706146
worry,704472
police,701967
heart,694919
second,693775
each,691753
probably,689929
shut,687835
five,683562
sit,683046
later,673933
thinking,673151
s,672387
under,671295
working,671242
having,669888
exactly,669377
music,669103
minute,666715
beautiful,663784
kid,662396
kids,661112
minutes,657207
crazy,654788
part,652976
year,651564
death,648219
stuff,648058
hit,646102
check,645104
late,644259
whatever,642386
eat,642176
knows,642139
happen,638742
easy,637615
hands,637122
gave,634087
far,631741
dr,631112
eyes,628809
deal,628522
change,622417
inside,621846
water,621837
forget,621596
pay,620038
young,618234
everybody,617553
taking,617291
doctor,614264
means,611038
point,608557
drink,604728
four,603549
person,602991
fight,601719
fire,601165
close,599219
makes,598879
hurt,594338
where's,593602
word,591649
chance,589633
times,586263
